,iid,gender,pid,match,int_corr,age_o,race_o,dec_o,age,race,from,goal,career,dining,gaming,clubbing,reading,shopping,Sports,Art,Musique,TV_Cinema,cosine_similarity
12,270,0,280.0,1,0.52,25.0,2.0,1,23.0,4.0,Toronto,2.0,Researcher,9.0,4.0,6.0,9.0,6.0,7.0,7.0,6.5,4.0,0.932
13,381,0,414.0,1,-0.32,29.0,2.0,1,24.0,2.0,California,5.0,Screenwriter,7.0,5.0,6.0,9.0,8.0,5.5,8.0,7.5,6.0,0.756
14,542,1,526.0,1,0.43,26.0,3.0,1,23.0,4.0,India and NJ,2.0,To go into Finance,10.0,8.0,8.0,9.0,9.0,5.0,8.0,8.5,8.0,0.95
15,483,1,477.0,0,0.51,27.0,3.0,1,28.0,2.0,Romania,6.0,professor,10.0,1.0,1.0,10.0,10.0,7.5,10.0,10.0,5.0,0.921
16,305,0,321.0,0,0.47,29.0,2.0,0,29.0,4.0,philippines,1.0,teaching/education,10.0,2.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,0.938
17,397,1,380.0,0,0.41,33.0,1.0,1,24.0,2.0,New Jersey,2.0,Lawyer,6.0,2.0,6.0,7.0,5.0,7.0,7.0,5.5,8.0,0.95
18,470,0,491.0,1,0.23,29.0,3.0,1,29.0,4.0,south carolina,1.0,medicine,10.0,1.0,3.0,10.0,10.0,1.0,10.0,6.0,5.0,0.851
19,370,1,343.0,0,0.06,32.0,2.0,1,28.0,2.0,New York,3.0,Consulting,7.0,1.0,6.0,7.0,4.0,5.0,6.0,7.0,2.0,0.931
20,199,0,221.0,1,0.29,27.0,4.0,1,30.0,2.0,New York,4.0,Historian,10.0,1.0,7.0,10.0,7.0,4.5,10.0,4.0,4.0,0.95
21,158,1,151.0,0,0.24,28.0,2.0,0,23.0,2.0,NYC (Staten Island),4.0,"physicist, probably academia",6.0,7.0,6.0,8.0,5.0,3.0,5.0,6.5,6.0,0.854
22,391,0,410.0,1,0.08,27.0,2.0,1,28.0,2.0,Maryland,1.0,Writer,8.0,1.0,9.0,9.0,4.0,7.0,6.0,5.0,1.0,0.716
23,206,0,233.0,1,-0.21,29.0,4.0,1,31.0,1.0,Cameroon,1.0,UN Civil Servant,9.0,7.0,9.0,9.0,5.0,6.0,7.0,8.0,5.0,0.955
24,243,1,239.0,0,0.28,34.0,2.0,1,27.0,2.0,"Portland, Oregon",2.0,Professor,9.0,7.0,3.0,9.0,6.0,6.0,5.0,8.0,5.0,0.893
25,220,1,194.0,0,-0.22,24.0,2.0,0,25.0,6.0,DC,1.0,"Poet, Writer, Singer, Policy Maker with the UN and/or Indian Govt.",10.0,6.0,8.0,10.0,5.0,7.0,9.0,7.0,5.0,0.95
26,436,0,449.0,1,0.78,23.0,6.0,1,23.0,2.0,California,1.0,Law,10.0,5.0,1.0,9.0,10.0,8.0,8.0,8.0,10.0,0.966
27,209,0,226.0,0,0.1,23.0,2.0,0,28.0,1.0,New York,3.0,Country Analysis/Research/Credit Analysis,8.0,8.0,8.0,3.0,3.0,4.5,5.0,8.5,6.0,0.924
28,30,0,55.0,1,0.49,23.0,1.0,1,23.0,2.0,Boston,1.0,Lawyer,7.0,1.0,7.0,8.0,6.0,4.5,4.0,8.0,6.0,0.944
29,234,0,243.0,0,0.43,27.0,2.0,1,22.0,6.0,Virginia,3.0,Educational Policy,10.0,1.0,4.0,9.0,7.0,4.5,6.0,7.0,5.0,0.945
30,369,1,341.0,0,0.57,23.0,4.0,0,25.0,2.0,"Boston, MA",2.0,"clinical psychologist, researcher, professor",6.0,1.0,1.0,10.0,1.0,2.0,7.0,7.0,5.0,0.907
31,110,1,86.0,1,0.5,22.0,2.0,1,28.0,2.0,Ann Arbor,2.0,Writer,7.0,2.0,3.0,7.0,3.0,7.0,7.0,7.5,5.0,0.889
32,186,1,178.0,1,0.51,35.0,4.0,1,24.0,4.0,Kansas,1.0,Professor,9.0,1.0,1.0,6.0,6.0,4.5,4.0,8.0,7.0,0.917
33,383,0,399.0,0,0.34,29.0,2.0,0,27.0,2.0,Massachusetts,3.0,Director of Admissions,9.0,1.0,5.0,6.0,7.0,7.0,8.0,7.5,9.0,0.906
34,446,1,439.0,1,0.67,29.0,2.0,1,28.0,3.0,"Bogota, Colombia",1.0,Finance,8.0,3.0,6.0,6.0,3.0,7.5,7.0,6.5,5.0,0.977
35,35,0,52.0,0,0.43,21.0,2.0,1,25.0,2.0,Brazil,1.0,Capital Markets,8.0,6.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,0.966
36,107,1,81.0,0,0.51,28.0,2.0,0,21.0,2.0,"Ann Arbor, MI",1.0,Teacher/Professor,7.0,1.0,7.0,7.0,1.0,7.5,6.0,9.0,2.0,0.91
37,552,1,513.0,1,0.55,23.0,2.0,1,25.0,2.0,France,1.0,assistant master of the universe (otherwise it's too much work),10.0,1.0,9.0,8.0,7.0,6.0,10.0,10.0,3.0,0.957
38,404,1,387.0,1,-0.06,25.0,2.0,1,23.0,2.0,France,2.0,Investment Banking,10.0,7.0,9.0,8.0,6.0,8.5,8.0,7.5,5.0,0.958
39,186,1,181.0,1,0.44,22.0,1.0,1,24.0,4.0,Kansas,1.0,Professor,9.0,1.0,1.0,6.0,6.0,4.5,4.0,8.0,7.0,0.924
40,253,0,283.0,0,-0.29,27.0,4.0,0,33.0,4.0,Japan,2.0,researcher/academia,8.0,1.0,6.0,10.0,7.0,5.0,10.0,7.0,7.0,0.869
41,505,1,501.0,0,0.63,26.0,2.0,0,27.0,4.0,"Manila, Philippines",3.0,Writer/Editor,5.0,7.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,0.942
42,173,1,157.0,0,0.49,28.0,4.0,0,22.0,2.0,NJ,1.0,professor,6.0,4.0,8.0,7.0,3.0,8.0,5.0,9.5,6.0,0.956
43,486,1,478.0,0,0.37,26.0,2.0,0,32.0,3.0,"Colombia, South America",3.0,Medical Sciences,10.0,1.0,9.0,8.0,2.0,3.5,7.0,6.5,1.0,0.838
44,389,0,410.0,1,0.12,27.0,2.0,1,21.0,2.0,Florida and Virginia,2.0,attorney?,8.0,2.0,1.0,10.0,7.0,7.5,7.0,10.0,8.0,0.785
45,413,1,391.0,0,-0.4,28.0,2.0,0,26.0,2.0,"Woburn, MA",1.0,Real Estate,7.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,8.0,0.831
46,160,1,142.0,0,-0.15,24.0,2.0,1,29.0,1.0,North Carolina,2.0,Real Estate/ Private Equity,6.0,4.0,8.0,6.0,3.0,6.0,6.0,7.5,8.0,0.878
47,368,1,343.0,0,0.16,32.0,2.0,1,24.0,6.0,UK/Turkey,1.0,Journalist,8.0,8.0,9.0,9.0,8.0,4.0,7.0,8.5,9.0,0.876
48,155,0,171.0,0,0.52,29.0,2.0,1,27.0,2.0,"Philadelphia, PA",2.0,Nonprofit,10.0,1.0,1.0,10.0,7.0,4.5,8.0,6.0,4.0,0.909
49,148,0,173.0,0,-0.34,22.0,2.0,0,27.0,4.0,"Cherry Hill, NJ",5.0,Business,9.0,2.0,1.0,10.0,9.0,6.5,9.0,6.0,9.0,0.844
50,85,0,100.0,0,0.32,30.0,6.0,0,30.0,2.0,Arizona,2.0,Social Services/ Policy,9.0,4.0,7.0,8.0,5.0,3.5,6.0,6.5,4.0,0.972
51,546,1,522.0,1,-0.16,22.0,2.0,1,30.0,2.0,"Genova, Italy",2.0,Consulting,10.0,1.0,1.0,2.0,10.0,7.0,3.0,6.0,5.0,0.774
52,107,1,91.0,1,0.42,25.0,6.0,1,21.0,2.0,"Ann Arbor, MI",1.0,Teacher/Professor,7.0,1.0,7.0,7.0,1.0,7.5,6.0,9.0,2.0,0.895
53,467,0,482.0,1,0.12,30.0,2.0,1,24.0,2.0,"CT, FL, TN",6.0,"Consulting, later Arts or Non-Profit",9.0,5.0,8.0,9.0,9.0,8.5,9.0,9.0,8.0,0.947
54,477,0,490.0,0,0.12,29.0,2.0,1,27.0,3.0,Canada,1.0,Engineer,8.0,4.0,7.0,7.0,6.0,7.5,7.0,7.0,6.0,0.95
55,97,1,92.0,1,0.17,29.0,2.0,1,29.0,2.0,"Brooklyn, NY",2.0,Professor,3.0,1.0,5.0,8.0,3.0,6.0,3.0,5.0,7.0,0.905
56,87,0,104.0,0,0.59,27.0,2.0,0,23.0,2.0,NJ,1.0,Social Worker,8.0,4.0,9.0,9.0,7.0,9.5,7.0,9.5,6.0,0.968
57,524,0,538.0,1,0.37,32.0,2.0,1,25.0,4.0,Michigan,2.0,physician/healthcare,9.0,3.0,8.0,7.0,7.0,5.5,8.0,5.0,7.0,0.951
58,206,0,230.0,1,0.09,42.0,2.0,1,31.0,1.0,Cameroon,1.0,UN Civil Servant,9.0,7.0,9.0,9.0,5.0,6.0,7.0,8.0,5.0,0.764
59,162,1,151.0,1,0.45,28.0,2.0,1,27.0,4.0,Canada,2.0,pharmaceuticals and biotechnology,8.0,2.0,8.0,5.0,7.0,3.0,7.0,10.0,4.0,0.885
60,225,1,195.0,1,-0.27,27.0,2.0,1,28.0,3.0,Colombia,1.0,Consulting,8.0,3.0,9.0,8.0,2.0,6.5,8.0,9.0,8.0,0.896
61,531,1,524.0,1,-0.15,25.0,4.0,1,25.0,4.0,"BEIJING, CHINA",2.0,TEACHING,6.0,6.0,6.0,6.0,1.0,8.0,10.0,9.0,10.0,0.899
62,49,1,35.0,1,0.18,25.0,2.0,1,25.0,4.0,Philadelphia,1.0,Entrepreneur,7.0,8.0,7.0,9.0,2.0,6.0,6.0,6.5,6.0,0.945
63,456,0,464.0,0,-0.43,33.0,4.0,1,29.0,4.0,NJ,2.0,Health care finance,8.0,2.0,8.0,8.0,8.0,7.0,7.0,6.0,4.0,0.869
64,142,0,168.0,1,-0.5,23.0,4.0,1,24.0,2.0,california,1.0,professor,6.0,14.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,0.88
65,25,0,55.0,0,0.53,23.0,1.0,1,25.0,2.0,Iowa,1.0,Social Worker,7.0,6.0,8.0,9.0,8.0,6.0,6.0,7.0,9.0,0.966
66,27,0,50.0,1,-0.23,27.0,1.0,1,22.0,3.0,"Westchester, NY",1.0,Speech Language Pathologist,8.0,7.0,8.0,8.0,7.0,8.0,6.0,6.0,5.0,0.908
67,359,0,372.0,0,0.04,27.0,2.0,0,26.0,2.0,California,2.0,"reorganizing society. no, I am not being flip.",7.0,8.0,1.0,10.0,1.0,3.0,2.0,8.0,3.0,0.859
68,128,1,112.0,1,0.44,20.0,6.0,1,21.0,2.0,Connecticut,1.0,Mechanical Engineering,6.0,7.0,3.0,5.0,2.0,7.5,4.0,10.0,7.0,0.907
69,532,1,519.0,0,0.03,26.0,2.0,0,26.0,4.0,California,1.0,ASIC Engineer,8.0,8.0,6.0,9.0,5.0,5.0,6.0,6.5,8.0,0.901
70,350,0,366.0,1,0.02,27.0,2.0,1,31.0,2.0,New Jersey,2.0,Private practice Dietician,9.0,7.0,7.0,9.0,5.0,8.5,8.0,9.0,9.0,0.975
71,252,0,278.0,0,0.64,32.0,2.0,1,28.0,3.0,Mexico,1.0,Professor,8.0,4.0,9.0,9.0,9.0,3.5,7.0,9.0,3.0,0.964
72,329,0,340.0,0,0.0,26.0,,0,29.0,2.0,"Great Neck, NY",6.0,teacher,7.0,1.0,4.0,10.0,2.0,3.0,10.0,7.0,2.0,0.915
73,93,0,100.0,1,0.17,30.0,6.0,1,29.0,2.0,England,1.0,Education Administration,10.0,7.0,8.0,7.0,7.0,6.0,7.0,5.5,5.0,0.96
74,372,1,347.0,0,-0.43,26.0,1.0,1,27.0,2.0,Midwest USA,2.0,undecided,9.0,4.0,2.0,9.0,4.0,7.5,9.0,7.0,6.0,0.71
75,410,1,389.0,1,0.12,21.0,2.0,1,27.0,2.0,"Austin, TX",1.0,business,8.0,10.0,1.0,8.0,1.0,6.5,1.0,4.5,4.0,0.785
76,364,1,352.0,1,0.05,29.0,6.0,1,27.0,3.0,Miami,3.0,Consulting,9.0,5.0,1.0,9.0,8.0,6.0,4.0,5.5,7.0,0.91
77,71,1,60.0,0,-0.34,29.0,6.0,0,21.0,2.0,Minnesota,5.0,Pro Beach Volleyball,4.0,6.0,7.0,7.0,2.0,6.5,3.0,7.0,10.0,0.779
78,387,0,412.0,1,-0.09,27.0,2.0,1,25.0,2.0,New Jersey,2.0,School Psychologist,8.0,3.0,8.0,7.0,8.0,4.5,6.0,7.0,7.0,0.899
79,536,1,518.0,0,0.61,23.0,2.0,1,29.0,2.0,Italy,1.0,Finance,8.0,2.0,7.0,8.0,7.0,4.0,7.0,8.0,6.0,0.983
80,99,1,91.0,1,0.6,25.0,6.0,1,28.0,2.0,New York,3.0,Lawyer,8.0,5.0,9.0,6.0,8.0,5.0,10.0,10.0,6.0,0.974
81,552,1,516.0,1,0.59,27.0,4.0,1,25.0,2.0,France,1.0,assistant master of the universe (otherwise it's too much work),10.0,1.0,9.0,8.0,7.0,6.0,10.0,10.0,3.0,0.973
82,476,0,484.0,1,0.27,31.0,4.0,1,25.0,2.0,California,5.0,International Development,9.0,1.0,7.0,3.0,6.0,4.0,5.0,5.0,3.0,0.896
83,180,0,184.0,1,0.24,34.0,2.0,1,24.0,4.0,taiwan,6.0,financial service or fashion,9.0,5.0,9.0,6.0,9.0,7.0,5.0,7.5,7.0,0.906
84,107,1,87.0,1,0.72,23.0,2.0,1,21.0,2.0,"Ann Arbor, MI",1.0,Teacher/Professor,7.0,1.0,7.0,7.0,1.0,7.5,6.0,9.0,2.0,0.948
85,540,1,515.0,0,-0.11,23.0,2.0,0,24.0,2.0,Persia,1.0,"Academic Work, Consultant",5.0,9.0,6.0,7.0,6.0,5.0,8.0,9.0,4.0,0.899
86,231,1,212.0,1,0.35,27.0,3.0,1,30.0,3.0,"Los Angeles, CA",1.0,International affairs related career,9.0,1.0,9.0,9.0,1.0,7.0,8.0,9.5,2.0,0.881
87,14,1,2.0,1,-0.21,24.0,2.0,1,23.0,2.0,"Cincinnati, Ohio",2.0,Corporate attorney,8.0,8.0,8.0,6.0,6.0,9.0,3.0,7.0,7.0,0.86
88,28,0,46.0,1,0.0,26.0,2.0,1,26.0,2.0,Other,6.0,Other,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.5,6.0,0.964
89,106,1,91.0,1,0.31,25.0,6.0,1,22.0,3.0,Texas,5.0,Law,9.0,9.0,2.0,9.0,5.0,2.5,6.0,5.0,8.0,0.914
90,207,0,219.0,1,0.1,26.0,2.0,1,23.0,2.0,New Jersey,1.0,IP Law,7.0,3.0,4.0,3.0,9.0,7.0,5.0,6.0,7.0,0.861
91,161,1,153.0,0,0.2,28.0,4.0,1,22.0,2.0,"State College, PA",2.0,undecided,8.0,7.0,9.0,9.0,6.0,8.0,6.0,7.5,8.0,0.981
92,48,1,31.0,1,0.52,24.0,2.0,1,22.0,2.0,Israel,1.0,Music production,7.0,5.0,8.0,4.0,6.0,2.5,8.0,7.0,6.0,0.934
93,53,1,22.0,0,0.5,27.0,1.0,1,28.0,2.0,Boston,2.0,Medicine,10.0,4.0,4.0,9.0,7.0,5.5,8.0,9.0,5.0,0.952
94,478,0,489.0,1,-0.07,28.0,2.0,1,26.0,2.0,Washington DC,1.0,Finance/Economics,7.0,3.0,3.0,8.0,4.0,9.0,7.0,8.5,7.0,0.912
95,50,1,39.0,0,0.02,24.0,3.0,1,27.0,1.0,Houston,6.0,lawyer,8.0,3.0,10.0,5.0,6.0,3.5,5.0,8.5,10.0,0.919
96,35,0,44.0,0,-0.09,24.0,2.0,1,25.0,2.0,Brazil,1.0,Capital Markets,8.0,6.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,0.935
97,325,0,338.0,1,0.63,27.0,6.0,1,30.0,3.0,New York,2.0,School Psychologist,9.0,7.0,7.0,9.0,4.0,6.5,9.0,9.0,7.0,0.982
98,277,1,260.0,1,0.36,27.0,4.0,1,25.0,2.0,Connecticut,1.0,Professor,5.0,5.0,3.0,8.0,1.0,10.0,8.0,6.0,6.0,0.903
99,344,0,361.0,0,0.09,34.0,2.0,0,26.0,3.0,New Mexico,3.0,Security Policy - Homeland Defense,6.0,3.0,9.0,4.0,9.0,5.0,7.0,9.0,7.0,0.861
100,277,1,261.0,1,0.13,26.0,4.0,1,25.0,2.0,Connecticut,1.0,Professor,5.0,5.0,3.0,8.0,1.0,10.0,8.0,6.0,6.0,0.892
101,490,1,477.0,0,0.12,27.0,3.0,0,29.0,2.0,Northern New Jersey,2.0,writer/producer,7.0,2.0,5.0,9.0,7.0,3.5,7.0,8.5,9.0,0.95
102,79,0,110.0,0,0.54,28.0,2.0,0,26.0,4.0,India/Venezuela,2.0,Operations Research,10.0,1.0,7.0,4.0,3.0,2.0,10.0,8.0,4.0,0.897
103,544,1,514.0,0,-0.09,23.0,2.0,0,23.0,4.0,San Francisco,1.0,Physician,10.0,14.0,9.0,2.0,10.0,3.0,7.0,8.5,8.0,0.754
104,169,1,155.0,0,0.23,27.0,2.0,1,28.0,2.0,"Buffalo, NY",2.0,"Research scientist, professor",9.0,1.0,6.0,4.0,4.0,7.5,7.0,8.0,6.0,0.881
105,384,0,414.0,1,-0.32,29.0,2.0,1,23.0,2.0,Connecticut,2.0,Undecided,9.0,3.0,7.0,6.0,6.0,5.0,10.0,5.5,7.0,0.682
106,375,1,341.0,0,-0.13,23.0,4.0,1,27.0,2.0,Yugoslavia,1.0,Private Equity,8.0,2.0,7.0,5.0,7.0,4.0,4.0,4.5,6.0,0.952
107,473,0,482.0,0,0.14,30.0,2.0,0,34.0,4.0,Belgium,2.0,Clinic Trial,8.0,6.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,0.942
108,44,1,23.0,1,-0.17,21.0,4.0,1,24.0,2.0,Israel,1.0,academia,7.0,6.0,7.0,8.0,6.0,8.5,8.0,4.5,1.0,0.873
109,495,1,475.0,0,0.09,27.0,3.0,0,32.0,6.0,Miami,2.0,Film,7.0,7.0,6.0,5.0,5.0,6.5,6.0,5.5,6.0,0.881
110,283,1,269.0,1,0.17,24.0,2.0,1,27.0,4.0,Boston,1.0,Industry CTO/CEO,6.0,6.0,6.0,8.0,2.0,7.5,4.0,5.0,3.0,0.891
111,101,1,87.0,0,-0.16,23.0,2.0,0,22.0,4.0,India,3.0,Finance,9.0,8.0,9.0,8.0,8.0,7.5,9.0,7.5,8.0,0.971
112,461,1,457.0,0,-0.11,55.0,4.0,0,27.0,6.0,india,1.0,"physician, informaticist",9.0,8.0,6.0,2.0,4.0,9.0,7.0,6.0,6.0,0.687
113,448,1,435.0,1,0.73,22.0,1.0,1,22.0,2.0,New York City,1.0,Business Management,9.0,5.0,9.0,7.0,6.0,3.5,8.0,8.0,3.0,0.969
114,77,0,97.0,1,-0.05,29.0,2.0,1,22.0,2.0,Minnesota,1.0,Social Worker,9.0,3.0,6.0,6.0,7.0,8.5,9.0,10.0,6.0,0.887
115,97,1,91.0,1,-0.2,25.0,6.0,1,29.0,2.0,"Brooklyn, NY",2.0,Professor,3.0,1.0,5.0,8.0,3.0,6.0,3.0,5.0,7.0,0.923
116,95,1,87.0,0,0.21,23.0,2.0,0,26.0,2.0,Long Island,1.0,Business - Investment Management,6.0,6.0,4.0,7.0,3.0,4.5,4.0,9.0,10.0,0.908
117,22,0,53.0,0,0.5,28.0,2.0,0,27.0,1.0,"Ann Arbor, MI",1.0,Informatics,8.0,2.0,6.0,8.0,8.0,1.5,8.0,7.0,8.0,0.952
118,142,0,162.0,0,-0.24,27.0,4.0,0,24.0,2.0,california,1.0,professor,6.0,14.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,0.806
119,445,1,439.0,1,0.48,29.0,2.0,1,30.0,2.0,"Burlington, Vermont",2.0,Energy Management,8.0,5.0,9.0,10.0,5.0,8.5,4.0,8.5,6.0,0.957
120,536,1,510.0,1,0.36,26.0,3.0,1,29.0,2.0,Italy,1.0,Finance,8.0,2.0,7.0,8.0,7.0,4.0,7.0,8.0,6.0,0.885
121,352,0,364.0,1,0.05,27.0,3.0,1,29.0,6.0,Taiwan,2.0,Artist,10.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,8.0,0.91
122,384,0,409.0,1,0.06,23.0,2.0,1,23.0,2.0,Connecticut,2.0,Undecided,9.0,3.0,7.0,6.0,6.0,5.0,10.0,5.5,7.0,0.914
123,413,1,384.0,0,0.08,23.0,2.0,0,26.0,2.0,"Woburn, MA",1.0,Real Estate,7.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,8.0,0.947
124,434,0,441.0,0,-0.11,24.0,2.0,1,27.0,2.0,Maryland,1.0,Trade Specialist,6.0,2.0,7.0,2.0,8.0,4.0,3.0,5.5,2.0,0.826
125,125,1,117.0,1,0.47,21.0,2.0,1,21.0,2.0,Staten Island,1.0,Pediatrics,10.0,1.0,10.0,9.0,10.0,5.0,9.0,9.0,2.0,0.957
126,19,1,6.0,1,0.46,23.0,4.0,1,28.0,2.0,california,4.0,ceo,10.0,7.0,9.0,8.0,7.0,10.0,5.0,7.0,7.0,0.926
127,469,0,489.0,1,-0.17,28.0,2.0,1,25.0,4.0,"Tokyo, Japan",2.0,Work at the UN,7.0,3.0,4.0,7.0,6.0,8.0,7.0,7.5,7.0,0.939
128,194,0,221.0,1,0.41,27.0,4.0,1,24.0,2.0,New York,3.0,Psychologist,9.0,8.0,7.0,9.0,9.0,5.0,6.0,6.0,9.0,0.96
129,138,1,134.0,0,-0.06,23.0,2.0,1,32.0,2.0,"Greenwich, CT",1.0,investment banking,8.0,7.0,7.0,9.0,6.0,4.5,6.0,5.5,9.0,0.957
130,406,1,381.0,0,0.07,24.0,2.0,0,27.0,4.0,Minneapolis,1.0,Finance,9.0,6.0,6.0,7.0,2.0,6.0,7.0,8.5,7.0,0.944
131,65,0,68.0,0,0.65,27.0,1.0,0,23.0,6.0,"Boston, MA",2.0,Social Worker.... Clinician,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,0.954
132,422,1,416.0,1,0.47,25.0,3.0,1,26.0,2.0,Florida,2.0,Fundraising for Non-Profits,9.0,2.0,4.0,7.0,7.0,8.5,9.0,6.0,5.0,0.932
133,24,0,53.0,0,0.48,28.0,2.0,0,27.0,2.0,new york,2.0,health/nutrition oriented social worker,9.0,6.0,3.0,6.0,6.0,10.0,6.0,8.0,1.0,0.936
134,106,1,77.0,0,-0.11,22.0,2.0,0,22.0,3.0,Texas,5.0,Law,9.0,9.0,2.0,9.0,5.0,2.5,6.0,5.0,8.0,0.851
135,383,0,412.0,1,0.33,27.0,2.0,1,27.0,2.0,Massachusetts,3.0,Director of Admissions,9.0,1.0,5.0,6.0,7.0,7.0,8.0,7.5,9.0,0.907
136,209,0,233.0,0,0.4,29.0,4.0,0,28.0,1.0,New York,3.0,Country Analysis/Research/Credit Analysis,8.0,8.0,8.0,3.0,3.0,4.5,5.0,8.5,6.0,0.971
137,354,0,364.0,1,0.6,27.0,3.0,1,22.0,2.0,Manhattan,1.0,Clinical Psychology,10.0,1.0,1.0,8.0,10.0,8.0,8.0,10.0,10.0,0.949
138,160,1,148.0,0,-0.16,27.0,4.0,0,29.0,1.0,North Carolina,2.0,Real Estate/ Private Equity,6.0,4.0,8.0,6.0,3.0,6.0,6.0,7.5,8.0,0.867
139,87,0,107.0,1,0.72,21.0,2.0,1,23.0,2.0,NJ,1.0,Social Worker,8.0,4.0,9.0,9.0,7.0,9.5,7.0,9.5,6.0,0.948
140,280,1,261.0,1,0.63,26.0,4.0,1,25.0,2.0,Budapest,3.0,Scientist,5.0,4.0,2.0,10.0,2.0,5.0,6.0,7.5,2.0,0.933
141,99,1,77.0,1,0.55,22.0,2.0,1,28.0,2.0,New York,3.0,Lawyer,8.0,5.0,9.0,6.0,8.0,5.0,10.0,10.0,6.0,0.973
142,433,0,445.0,0,0.13,30.0,2.0,1,30.0,6.0,Northern California,2.0,Writer,8.0,1.0,6.0,7.0,5.0,5.5,8.0,5.0,5.0,0.932
143,103,1,84.0,0,0.1,32.0,3.0,0,26.0,2.0,Chicago,2.0,business,8.0,5.0,8.0,8.0,6.0,8.0,5.0,8.0,8.0,0.904
144,353,0,369.0,1,0.42,25.0,2.0,1,25.0,4.0,Taiwan,1.0,teacher,8.0,8.0,5.0,6.0,8.0,5.0,9.0,8.5,4.0,0.816
145,498,0,503.0,0,0.14,25.0,2.0,0,25.0,2.0,Baltimore,1.0,scientist,7.0,6.0,9.0,8.0,3.0,4.0,3.0,8.0,8.0,0.86
146,62,0,67.0,1,0.26,22.0,6.0,1,26.0,3.0,"Albuquerque, NM",2.0,attorney,8.0,7.0,7.0,7.0,9.0,7.0,6.0,8.0,5.0,0.899
147,358,0,374.0,0,-0.19,30.0,4.0,0,26.0,4.0,California and New York,1.0,Marketing or Strategy and Business Development,10.0,4.0,9.0,9.0,7.0,4.5,5.0,4.5,6.0,0.896
148,14,1,8.0,1,-0.4,25.0,2.0,1,23.0,2.0,"Cincinnati, Ohio",2.0,Corporate attorney,8.0,8.0,8.0,6.0,6.0,9.0,3.0,7.0,7.0,0.866
149,267,0,275.0,0,-0.48,21.0,2.0,1,26.0,4.0,Taiwan,1.0,dietician,9.0,7.0,8.0,3.0,10.0,4.0,6.0,6.5,9.0,0.795
150,550,1,525.0,0,0.24,24.0,2.0,0,30.0,2.0,UK,2.0,Finance,9.0,3.0,8.0,8.0,6.0,4.0,7.0,5.0,3.0,0.857
